Date,Open,High,Low,Close,Adj Close,Volume
2006-07-31,111.800003,112.050003,111.660004,111.900002,75.078506,3906800
2006-08-01,111.500000,111.519997,110.750000,111.220001,74.622307,5439000
2006-08-02,111.550003,112.199997,111.440002,111.980003,75.132156,3929700
2006-08-03,111.430000,112.660004,111.269997,112.589996,75.541382,6181100
2006-08-04,113.139999,113.370003,111.820000,112.480003,75.467667,7698000
2006-08-07,112.139999,112.419998,111.849998,112.339996,75.373718,3623200
2006-08-08,112.470001,112.760002,111.150002,111.839996,75.038246,9064600
2006-08-09,112.400002,112.510002,110.720001,110.949997,74.441093,8368700
2006-08-10,110.849998,111.529999,110.500000,111.300003,74.675949,7656700
2006-08-11,111.059998,111.150002,110.550003,111.050003,74.508247,5275000
2006-08-14,111.620003,112.129997,110.889999,111.150002,74.575279,7949500
2006-08-15,112.070000,112.449997,111.730003,112.260002,75.320053,4695800
2006-08-16,112.750000,113.550003,112.680000,113.379997,76.071510,6681000
2006-08-17,113.300003,113.879997,113.190002,113.459999,76.125153,5959600
2006-08-18,113.449997,113.800003,113.080002,113.800003,76.519226,3983200
2006-08-21,113.430000,113.559998,113.099998,113.500000,76.317459,5056000
2006-08-22,113.279999,113.750000,112.930000,113.279999,76.169525,3930800
2006-08-23,113.279999,113.620003,112.580002,113.110001,76.055260,7033800
2006-08-24,113.199997,113.339996,112.669998,112.800003,75.846817,4049000
2006-08-25,112.730003,113.150002,112.519997,112.839996,75.873695,3559800
2006-08-28,112.739998,113.870003,112.730003,113.440002,76.277084,3875800
2006-08-29,113.459999,113.760002,112.930000,113.510002,76.324219,4967000
2006-08-30,113.750000,114.070000,113.559998,113.760002,76.492325,4297200
2006-08-31,113.860001,114.080002,113.680000,113.809998,76.525917,3894800
2006-09-01,114.209999,114.769997,113.949997,114.699997,77.124321,4494400
2006-09-05,114.620003,114.900002,114.379997,114.730003,77.144562,5085300
2006-09-06,114.269997,114.440002,113.970001,114.139999,76.747856,4347600
2006-09-07,113.680000,113.949997,113.230003,113.559998,76.357864,7050000
2006-09-08,113.610001,114.050003,113.489998,113.870003,76.566261,3220000
2006-09-11,113.650002,114.250000,113.419998,113.959999,76.626816,5681400
2006-09-12,114.099998,115.180000,114.000000,114.980003,77.312614,9111200
2006-09-13,114.860001,115.790001,114.849998,115.470001,77.642097,4674000
2006-09-14,115.279999,115.589996,115.059998,115.510002,77.669006,4182000
2006-09-15,115.839996,116.029999,115.449997,115.589996,77.862343,7672200
2006-09-18,115.389999,115.790001,115.129997,115.519997,77.815170,7036500
2006-09-19,115.550003,115.559998,114.680000,115.339996,77.693916,8697300
2006-09-20,115.680000,116.209999,115.629997,116.080002,78.192436,8912900
